City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Christchurch,NZ,2021-04-01 21:22:09,-43.5333,172.6333,57.99,76,100,2.3
153,Paamiut,GL,2021-04-01 21:21:09,61.994,-49.6678,36.99,79,100,36.26
154,Esperance,AU,2021-04-01 21:22:09,-33.8667,121.9,69.8,23,0,17.27
155,Sao Filipe,CV,2021-04-01 21:22:09,14.8961,-24.4956,72.5,73,56,9.33
156,Constitucion,CL,2021-04-01 21:22:10,-35.3333,-72.4167,62.29,75,18,9.8
157,Moba,CN,2021-04-01 21:22:10,33.2288,105.0179,38.53,94,100,7.0
158,Kloulklubed,PW,2021-04-01 21:22:10,7.0419,134.2556,80.6,89,90,11.1
159,Byron Bay,AU,2021-04-01 21:22:10,-28.65,153.6167,71.6,64,40,14.97
160,Hailar,CN,2021-04-01 21:22:11,49.2,119.7,33.71,99,100,3.94
161,Fortuna,US,2021-04-01 21:21:42,40.5982,-124.1573,66.0,58,1,19.57
162,Elda,ES,2021-04-01 21:22:11,38.4778,-0.7916,60.01,54,0,6.11
163,San Carlos De Bariloche,AR,2021-04-01 21:22:11,-41.1456,-71.3082,66.2,52,75,5.75
164,Honiara,SB,2021-04-01 21:22:12,-9.4333,159.95,81.01,82,84,3.8
165,Kenai,US,2021-04-01 21:19:20,60.5544,-151.2583,26.6,46,1,9.22
166,Marica,BR,2021-04-01 21:22:12,-22.9194,-42.8186,80.6,61,40,14.97
167,Hami,CN,2021-04-01 21:19:07,42.8,93.45,43.86,20,0,2.64
168,Bekhtery,UA,2021-04-01 21:22:12,46.251,32.2927,45.36,73,0,4.94
169,Gunjur,GM,2021-04-01 21:22:13,13.2019,-16.7339,71.6,73,0,12.66
170,Talara,PE,2021-04-01 21:22:13,-4.5772,-81.2719,73.36,75,53,11.01
171,Geraldton,AU,2021-04-01 21:22:13,-28.7667,114.6,75.2,94,90,9.22
172,Faanui,PF,2021-04-01 21:22:14,-16.4833,-151.75,82.35,68,73,6.96
